Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,"Mean annual temperature, °C","Mean annual precipitation, mm","Above-ground biomass carbon density (BCDa), Mg C ha-1","Living biomass carbon density (BCDl), Mg C ha-1","Total biomass carbon density (BCDt), Mg C ha-1",Stand age,BCDa/BCDl,BCDa/BCDt,Reference 1,Method used to determine tree age,Reference 2,Reference 3,Reference 4,
29,Temperate,Temperate mountain system,Asia,"Xianmi, Qinghai, China",Sabina przewalskii Kom,37.27 ,101.95 ,1.0 ,490 ,61.0 ,77.59 ,,170 ,0.79 ,,"China’s Forest Editorial Committee, 1999",Tree rings,,,,
30,Temperate,Temperate mountain system,Asia,"Yangyu, Qinghai, China",Sabina przewalskii Kom,37.30 ,101.60 ,-1.6 ,494 ,53.0 ,73.52 ,,180 ,0.72 ,,"China’s Forest Editorial Committee, 1999",Tree rings,,,,
31,Temperate,Temperate mountain system,Asia,"Yangyu, Qinghai, China",Sabina przewalskii Kom,37.30 ,101.60 ,-1.6 ,494 ,59.2 ,82.73 ,,206 ,0.72 ,,"China’s Forest Editorial Committee, 1999",Tree rings,,,,
32,Temperate,Temperate mountain system,Asia,"Yangyu, Qinghai, China",Sabina przewalskii Kom,37.30 ,101.60 ,-1.6 ,494 ,139.8 ,197.41 ,,290 ,0.71 ,,"China’s Forest Editorial Committee, 1999",Tree rings,,,,
33,Temperate,Temperate mountain system,Asia,"Zhongtie, Qinghai, China",Sabina przewalskii Kom,35.02 ,100.05 ,-1.6 ,430 ,128.1 ,189.28 ,,252 ,0.68 ,,"China’s Forest Editorial Committee, 1999",Tree rings,,,,
34,Temperate,Temperate mountain system,Asia,"Zhongtie, Qinghai, China",Sabina przewalskii Kom,35.02 ,100.05 ,-1.6 ,430 ,97.9 ,147.65 ,,263 ,0.66 ,,"China’s Forest Editorial Committee, 1999",Tree rings,,,,
35,Subtropical,Subtropical mountain system,Asia,"Bomi, Tibet, China","Picea, Abies",29.92 ,95.88 ,9.0 ,850 ,717.6 ,,,350 ,,,"Feng et al., 1999",Historical record,,,,
36,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.25 ,-122.18 ,8.5 ,2118 ,615.3 ,,958.0 ,450,,0.64 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
37,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21 ,-122.24 ,10.3 ,1869 ,422.1 ,,658.0 ,460,,0.64 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
38,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.22 ,-122.25 ,10.4 ,1859 ,253.7 ,,401.9 ,450,,0.63 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
39,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21 ,-122.22 ,10.1 ,2003 ,307.3 ,,487.4 ,450,,0.63 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
40,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21 ,-122.15 ,5.8 ,2260 ,407.9 ,,652.5 ,460,,0.63 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
41,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.23 ,-122.12 ,7.0 ,2332 ,605.9 ,,974.8 ,460,,0.62 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
42,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.23 ,-122.15 ,8.0 ,2264 ,550.5 ,,896.9 ,450,,0.61 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
43,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.20 ,-122.26 ,11.4 ,1719 ,283.9 ,,464.9 ,460,,0.61 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
44,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.21 ,-122.24 ,8.9 ,1906 ,521.2 ,,856.4 ,460,,0.61 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
45,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.26 ,-122.18 ,8.1 ,2101 ,498.4 ,,825.8 ,450,,0.60 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
46,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.22 ,-122.24 ,10.9 ,1868 ,314.9 ,,552.3 ,460,,0.57 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
47,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.23 ,-122.12 ,7.1 ,1240 ,359.0 ,,651.1 ,450,,0.55 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
48,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.26 ,-122.16 ,7.8 ,2202 ,411.5 ,,774.8 ,460,,0.53 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
49,Temperate,Temperate mountain system,North America,"ORCASC,H. J. Andrews",,44.27 ,-122.14 ,3.8 ,2282 ,328.2 ,,741.2 ,450,,0.44 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
50,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.06 ,-123.99 ,7.9 ,2417 ,472.9 ,,754.1 ,150,,0.63 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
51,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.07 ,-123.94 ,9.0 ,2552 ,531.1 ,,864.6 ,150,,0.61 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
52,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.04 ,-123.90 ,8.6 ,2660 ,472.0 ,,776.8 ,150,,0.61 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
53,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.07 ,-123.94 ,9.0 ,2554 ,498.6 ,,837.8 ,150,,0.60 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
54,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.06 ,-123.94 ,8.7 ,2559 ,432.1 ,,730.3 ,150,,0.59 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
55,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.07 ,-123.94 ,9.0 ,2549 ,380.3 ,,665.2 ,150,,0.57 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
56,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.05 ,-123.90 ,8.5 ,2651 ,405.5 ,,738.8 ,150,,0.55 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
57,Temperate,Temperate mountain system,North America,"ORCOAST,Cascade Head",,45.05 ,-123.90 ,8.3 ,2658 ,391.4 ,,724.1 ,150,,0.54 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
58,Temperate,Temperate mountain system,North America,"OREAST,Metolius RNA",,44.49 ,-121.63 ,8.1 ,355 ,82.5 ,,172.9 ,300,,0.48 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
59,Temperate,Temperate mountain system,North America,"OREAST,Pringle Falls RNA",,43.71 ,-121.61 ,5.8 ,549 ,107.0 ,,189.5 ,500,,0.56 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
60,Temperate,Temperate mountain system,North America,"OREAST,Pringle Falls RNA",,43.71 ,-121.60 ,5.0 ,539 ,77.0 ,,141.6 ,400,,0.54 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
61,Temperate,Temperate mountain system,North America,"OREAST,Pringle Falls RNA",,43.71 ,-121.61 ,5.7 ,545 ,66.9 ,,128.3 ,400,,0.52 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
62,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.96 ,-121.84 ,3.9 ,2500 ,338.9 ,,496.9 ,1200,,0.68 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
63,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,47.00 ,-121.88 ,8.1 ,2112 ,349.2 ,,572.9 ,550,,0.61 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
64,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.82 ,-121.55 ,5.4 ,2249 ,379.6 ,,632.4 ,1000,,0.60 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
65,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.77 ,-121.74 ,4.1 ,2812 ,342.4 ,,582.3 ,300,,0.59 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
66,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.78 ,-121.78 ,6.0 ,2658 ,487.9 ,,853.7 ,750,,0.57 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
67,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.75 ,-121.80 ,6.1 ,2421 ,346.9 ,,625.5 ,700,,0.55 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
68,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.74 ,-121.89 ,8.8 ,2166 ,378.7 ,,731.8 ,750,,0.52 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
69,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.83 ,-121.55 ,6.6 ,2257 ,196.0 ,,385.0 ,1000,,0.51 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
70,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.92 ,-121.54 ,7.3 ,2076 ,265.1 ,,553.4 ,500,,0.48 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
71,Temperate,Temperate mountain system,North America,"WACASC,Wind River",,45.83 ,-121.97 ,7.8 ,2496 ,542.9 ,,941.1 ,470,,0.58 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
72,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78 ,-123.91 ,8.2 ,3669 ,406.7 ,,658.7 ,280,,0.62 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
73,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78 ,-123.91 ,8.2 ,3669 ,458.1 ,,788.8 ,280,,0.58 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
74,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.43 ,-123.87 ,8.9 ,2893 ,331.9 ,,585.1 ,230,,0.57 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
75,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.43 ,-123.87 ,8.9 ,2899 ,313.5 ,,554.8 ,230,,0.57 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
76,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78 ,-123.91 ,8.2 ,3669 ,278.0 ,,513.8 ,280,,0.54 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
77,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78 ,-123.91 ,8.2 ,3669 ,293.4 ,,550.5 ,280,,0.53 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
78,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.83 ,-123.99 ,8.9 ,3026 ,368.2 ,,718.3 ,230,,0.51 ,"Hudiburg et al., 2009",Tree rings,"USDA, 2011",,,
79,Polar,Polar,Asia,"Chersky,the lower delta of Kolyma River?eastern Siberia",L. cajanderi,69.00 ,160.00 ,-12.7 ,310 ,8.2 ,,13.6 ,155 ,,0.60 ,"Kajimoto et al., 2006",Tree rings,,,,
80,Polar,Polar,Asia,"Chersky,the lower delta of Kolyma River?eastern Siberia",L. cajanderi,69.00 ,160.00 ,-12.7 ,310 ,8.2 ,,,,,,"Kajimoto et al., 2006",,,,,
81,Boreal,Boreal mountain system,Asia,"Oymyakon,the upper  stream  of  Indigirka  River,eastern Siberia",L. cajanderi,63.00 ,145.00 ,-18.0 ,510 ,3.8 ,,,,,,"Kajimoto et al., 2006",,,,,
82,Boreal,Boreal mountain system,Asia,"Tura,along  Kochechum  River,central Siberia",L. gmelinii,64.00 ,100.00 ,-9.4 ,600 ,3.1 ,,4.6 ,100 ,,0.68 ,"Kajimoto et al., 2006",Tree rings,,,,
83,Boreal,Boreal mountain system,Asia,"Tura,along  Kochechum  River,central Siberia",L. gmelinii,64.00 ,100.00 ,-9.4 ,600 ,11.6 ,,17.5 ,220 ,,0.66 ,"Kajimoto et al., 2006",Tree rings,,,,
84,Polar,Polar,Asia,"Tura,along  Kochechum  River,central Siberia",L. gmelinii,72.00 ,101.00 ,-13.0 ,420 ,3.0 ,,,,,,"Kajimoto et al., 2006",,,,,
85,Boreal,Boreal mountain system,Asia,"Tura,along  Kochechum  River,central Siberia",L. cajanderi,61.00 ,152.00 ,-12.2 ,670 ,42.9 ,,,,,,"Kajimoto et al., 2006",,,,,
86,Polar,Polar,Asia,"Tura,along  Kochechum  River,central Siberia",L. gmelinii,70.00 ,90.00 ,-12.1 ,690 ,27.7 ,,,,,,"Kajimoto et al., 2006",,,,,
87,Boreal,Boreal coniferous forest,Asia,"Tura,along  Kochechum  River,central Siberia",L. gmelinii,62.00 ,129.00 ,-10.2 ,460 ,61.5 ,,,,,,"Kajimoto et al., 2006",,,,,
88,Boreal,Boreal mountain system,Asia,"Tura,along  Kochechum  River,central Siberia",L. gmelinii,64.00 ,100.00 ,-9.4 ,600 ,3.1 ,,,,,,"Kajimoto et al., 2006",,,,,
89,Boreal,Boreal mountain system,Asia,"Tura,along  Kochechum  River,central Siberia",L. gmelinii,64.00 ,100.00 ,-9.4 ,600 ,12.6 ,,,,,,"Kajimoto et al., 2006",,,,,
90,Boreal,Boreal coniferous forest,Asia,"Tura,along  Kochechum  River,central Siberia",Pinus sylvestris,66.00 ,87.00 ,-6.6 ,850 ,51.9 ,,,,,,"Kajimoto et al., 2006",,,,,
91,Boreal,Boreal mountain system,Asia,"Tura,along  Kochechum  River,central Siberia",L. cajanderi,60.00 ,148.00 ,-5.9 ,700 ,91.4 ,,,,,,"Kajimoto et al., 2006",,,,,
92,Boreal,Boreal coniferous forest,Asia,"Tura,along  Kochechum  River,central Siberia",Pinus sylvestris,62.00 ,90.00 ,-4.1 ,910 ,105.5 ,,,,,,"Kajimoto et al., 2006",,,,,
93,Boreal,Boreal mountain system,Asia,"Tura,along  Kochechum  River,central Siberia",Pinus sylvestris,52.00 ,94.00 ,-2.5 ,920 ,90.9 ,,,,,,"Kajimoto et al., 2006",,,,,
94,Temperate,Temperate mountain system,Europe,"Ivan Frankivski,Ukraine", Norway spruce and silver fir,48.371,23.67,7.0 ,800 ,127.7 ,,,250 ,,,"Keeton et al., 2010",Tree rings,,,,
95,Temperate,Temperate mountain system,Europe,"Ivan Frankivski,Ukraine", Norway spruce and silver fir,48.371,23.67,7.0 ,800 ,151.5 ,,,250 ,,,"Keeton et al., 2010",Tree rings,,,,
96,Temperate,Temperate continental forest,Europe,"Ivan Frankivski,Ukraine", Norway spruce and silver fir,48.438,23.39,7.0 ,800 ,90.6 ,,,150 ,,,"Keeton et al., 2010",Tree rings,,,,
97,Tropical,Tropical rainforest,Central America ,"Los Tuxtlas, Mexico",,18.58 ,-95.08 ,27.0 ,4700 ,181.0 ,,195.0 ,,,0.93 ,"Keith et al., 2009",,,,,
98,Temperate,Temperate oceanic forest,South America,Chile,"Nothofagus dombeyi, Drimys winteri, N. nitida, Aextoxicon punctatum",-40.50 ,-73.50 ,10.6 ,1600 ,142.0 ,,,,,,"Keith et al., 2009",,,,,
99,Temperate,Temperate mountain system,North America ,Oregon coast,Tsuga heterophylla-Picea sitchensis,45.00 ,-123.90 ,8.6 ,2575 ,465.0 ,,762.0 ,,,0.61 ,"Keith et al., 2009",,,,,
100,Boreal,Boreal mountain system,North America,"Alaska, USA","Picea glauca, P. marina, Populus/Alnus, Betula papyrifera",64.75 ,-148.25 ,-3.5 ,269 ,61.0 ,,,,,,"Keith et al., 2009",,,,,
101,Boreal,Boreal mountain system,North America,"Alaska, USA",Picea marina,64.00 ,-148.00 ,-3.4 ,275 ,43.0 ,,,,,,"Keith et al., 2009",,,,,
102,Temperate,Temperate mountain system,North America,Alaskan coast,"Tsuga heterophylla, Chamaecyparis nootkatensis, T. mertensiana",58.37 ,-134.72 ,10.0 ,3550 ,325.0 ,,582.0 ,,,0.56 ,"Keith et al., 2009",,,,,
103,Tropical,Tropical rainforest,South America,"Araracuara, Colombia",,-0.63 ,-72.37 ,25.5 ,2998 ,175.0 ,,,,,,"Keith et al., 2009",,,,,
104,Subtropical,Subtropical humid forest,Australasia ,"Auckland & Northland, NZ",,-35.72 ,173.63 ,13.9 ,1640 ,672.0 ,,982.0 ,,,0.68 ,"Keith et al., 2009",,,,,
105,Subtropical,Subtropical humid forest,Australasia ,"Auckland & Northland, NZ",,-36.90 ,174.57 ,14.4 ,1341 ,312.0 ,,400.0 ,,,0.78 ,"Keith et al., 2009",,,,,
106,Boreal,Boreal coniferous forest,North America,Canada - Boreal Plains,,54.00 ,-115.00 ,0.0 ,462 ,113.0 ,,,,,,"Keith et al., 2009",,,,,
107,Boreal,Boreal tundra woodland,North America,Canada - Taiga Plains,,58.00 ,-118.00 ,-5.5 ,350 ,99.0 ,,,,,,"Keith et al., 2009",,,,,
108,Boreal,Boreal,North America,Canada - Western Boreal Shield,,51.00 ,-99.00 ,-4.0 ,400 ,33.0 ,,,,,,"Keith et al., 2009",,,,,
109,Boreal,Boreal coniferous forest,North America,Canada - Western Taiga Shield,,59.00 ,-110.00 ,-4.0 ,350 ,47.0 ,,,,,,"Keith et al., 2009",,,,,
110,Boreal,Boreal coniferous forest,Europe,Central Finland,Pinus sylvestris,64.72 ,26.02 ,2.0 ,500 ,34.0 ,,67.0 ,,,0.51 ,"Keith et al., 2009",,,,,
111,Temperate,Temperate mountain system,Australasia ,"central Highlands of Victoria, Aust.",Eucalyptus regnans,-37.62,145.79,9.4 ,1670 ,1053,,1867.0 ,500 ,,0.56 ,"Keith et al., 2009",Radiocarbon dating,,,,
112,Temperate,Temperate mountain system,Australasia,"Central Highlands, Vict., Aust.",Eucalyptus regnans,-37.62 ,145.79 ,9.4 ,1668 ,501.0 ,,1141.0 ,,,0.44 ,"Keith et al., 2009",,,,,
113,Boreal,Boreal coniferous forest,Asia,Central Siberia,"Pinus sylvestris, lichen",60.75 ,89.41 ,-3.7 ,493 ,62.0 ,,,,,,"Keith et al., 2009",,,,,
114,Boreal,Boreal coniferous forest,Asia,Central Siberia,"Pinus sylvestris, Vaccinium mosses",60.73 ,89.32 ,-3.7 ,493 ,149.0 ,,,,,,"Keith et al., 2009",,,,,
115,Boreal,Boreal coniferous forest,Asia,"Central Siberia, Yenisei River","Pinus sylvestris, lichen",60.72 ,89.13 ,-3.7 ,493 ,65.0 ,,,,,,"Keith et al., 2009",,,,,
116,Boreal,Boreal coniferous forest,Asia,"Central Siberia, Yenisei River","Pinus sylvestris, Vaccinium mosses",60.72 ,89.13 ,-3.7 ,493 ,121.0 ,,,,,,"Keith et al., 2009",,,,,
117,Temperate,Temperate oceanic forest,Australasia,Central South Island NZ,Nothofagus solandri,-43.25 ,172.00 ,8.0 ,1447 ,123.0 ,,150.0 ,,,0.82 ,"Keith et al., 2009",,,,,
118,Temperate,Temperate mountain system,Australasia ,"central Victoria, Aust.",Eucalyptus regnans,-37.43 ,145.18 ,10.4 ,1244 ,678.0 ,,1000.0 ,,,0.68 ,"Keith et al., 2009",,,,,
119,Tropical,Tropical rainforest,Asia,"Cheko, Cambodia",,10.93 ,103.40 ,27.8 ,3726 ,191.0 ,,,,,,"Keith et al., 2009",,,,,
120,Boreal,Boreal coniferous forest,Asia,"China, Daxing’anling",Larix gmelinii,50.83 ,121.50 ,-5.4 ,500 ,26.0 ,,,,,,"Keith et al., 2009",,,,,
